Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
345;марте;март;inan;masc;т;1;в;И а Толик умер - вот четыре года ему в марте , в Литве
346;заводе;завод;inan;masc;д;2;на;И так и на Череповецком металлургическом заводе отработал
347;институте;институт;inan;masc;т;3;в;И он учился в институте имени Можайского
348;севере;север;inan;masc;р;2;на;и говорит , на севере
349;доме;дом;inan;masc;м;1;в;А теперь зачем , у нас ванна есть , туалет есть , всё в доме
350;городе;город;inan;masc;д;2;в;В городе они не встревают никого , они заходят в дом , знают , когда нет никого
351;городе;город;inan;masc;д;2;в;Деньги - в городе ? Везде
352;селе;село;inan;neut;л;1;в;Пожалуйста , и у вас в селе тут
353;магазине;магазин;inan;masc;н;3;в;Русский , э - э , если не можешь по - ихнему говорить - даже в магазине ничего не купишь
354;клубе;клуб;inan;masc;б;1;в;В клубе
355;клубе;клуб;inan;masc;б;1;в;Музей там , в клубе
356;Ельце;елец;inan;masc;ц;2;в;И вот дошёл туда он - и в Ельце был , и из Ельца он не добрался до Липица
357;столе;стол;inan;masc;л;1;на;Глянешь - вот мёд ешь , поставишь где - нибудь на столе или где - нибудь , глянешь - а там муха залезла , прилипла , сидит
358;поле;поле;inan;neut;л';1;в;А то луга вон к полю , и там в поле ж косят сено , на буграх
359;огороде;огород;inan;masc;д;3;на;А я любила , у меня на огороде всегда было много . И вот до этого , до этой штуки этой не было , не знал и был . И поспевал
360;палисаднике;палисадник;inan;masc;к;4;в;У меня в палисаднике , бывало , насею , цветут - страсть божья . .
361;совете;совет;inan;masc;т;2;в;В совете работает , какая Люба , может . .
362;совете;совет;inan;masc;т;2;в;Она вот . . . в совете , Люба , она . . . Да , они брали ее
363;совете;совет;inan;masc;т;2;в;А сошелся с энтой , четыре года , с Любкой в совете
364;Липеце;липец;inan;masc;ц;2;в;Этот в Липеце живет
366;колхозе;колхоз;inan;masc;з;2;в;В колхозе , всё время в колхоз ходили
367;районе;район;inan;masc;н;2;в;А теперь бросили свёклу сеять , ну у нас - то в районе - то не сеют , а вот в Лебедяни , говорят , сеют , а то сахара не будет
368;районе;район;inan;masc;н;2;в;Коров вот в нашем районе где - то накупили , где - йто строят эти . .
370;колхозе;колхоз;inan;masc;з;2;в;Не . В колхозе . .
371;доме;дом;inan;masc;м;1;в;Бывало , всю зиму стан стоит в доме , пыли средь
372;солнышке;солнышко;inan;neut;к;2;на;да расстилали на солнышке , чтобы они убеливались , чтоб белые были
373;Колодезе;колодезь;inan;masc;з';3;в;А у нее дочь учится в Конь - Колодезе
374;рубеже;рубеж;inan;masc;ж;2;на;на долгожданном рубеже
375;столике;столик;inan;masc;к;2;на;и на столике Пушкина том
376;мире;мир;inan;masc;р;1;в;Для меня ничего в мире нет
378;потолке;потолок;inan;masc;к;3;на;Ага , а боров ещё вот когда печку ложат , вот дойдут до потолка , и там чтоб на потолке , там боров
379;решете;решето;inan;neut;т;2;в;Эта , кар . . . мезга - то она тут оставается , в решете , или в сите
380;сите;сит;anim;masc;т;1;в;Эта , кар . . . мезга - то она тут оставается , в решете , или в сите
381;городе;город;inan;masc;д;2;в;Не делала ? Да кто - йто вы будете в городе делать
382;совхозе;совхоз;inan;masc;з;2;в;где - нибудь вон , чего - нибудь получали вон когда - йто мы в совхозе
383;навозе;навоз;inan;masc;з;2;в;В навозе водятся черви
384;навозе;навоз;inan;masc;з;2;в;В навозе водятся черви
385;базаре;базар;inan;masc;р;2;на;Он , говорят , продавается в этом , на базаре
